country_iso|dts_utc|kpi_id|kpi_value|source|source_retrieved_dts_utc
USA|2024-11-18|human_infections_cumulative|52|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-18
USA|2024-11-19|human_infections_cumulative|53|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-19
CAN|2024-11-18|human_infections_cumulative|1|https://apnews.com/article/bird-flu-canada-h5n1-d5cac97a9d7e90c227a600364573a8a3|2024-11-18
USA|2024-11-20|human_infections_cumulative|53|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-20
USA|2024-11-21|human_infections_cumulative|53|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-21
USA|2024-11-22|human_infections_cumulative|53|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-22
USA|2024-11-25|human_infections_cumulative|55|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-25
USA|2024-11-26|human_infections_cumulative|55|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-26
USA|2024-11-27|human_infections_cumulative|55|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-27
USA|2024-11-28|human_infections_cumulative|55|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-28
USA|2024-11-29|human_infections_cumulative|55|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-11-29
USA|2024-12-03|human_infections_cumulative|57|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-12-03
USA|2024-12-05|human_infections_cumulative|58|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-12-05
USA|2024-12-09|human_infections_cumulative|58|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-12-09
USA|2024-12-10|human_infections_cumulative|58|https://www.cdc.gov/bird-flu/situation-summary/index.html|2024-12-10
